IP,Port,Location,Type,Anonimity Level
112.15.104.12,8123,China,HTTPS,High +KA
213.85.92.10,80,Russia,HTTP,High +KA
117.135.250.69,81,China,HTTP,High +KA
163.177.79.5,80,China,HTTP,None
115.238.225.26,80,China,HTTP,None
111.161.126.100,80,China,HTTPS,High +KA
122.225.106.35,80,China,HTTP,None
101.69.199.99,80,China,HTTP,High +KA
202.119.25.71,9999,China,HTTP,None
124.202.175.166,8118,China,HTTP,High
60.18.147.42,80,China,HTTP,None
163.177.79.4,8103,China,HTTP,None
206.17.20.75,3128,USA,HTTPS,High +KA
39.182.194.21,8123,China,HTTP,High +KA
187.33.48.162,8080,Brazil,HTTPS,High +KA
211.162.0.163,80,China,HTTPS,High +KA
111.161.126.98,80,China,HTTPS,High +KA
58.240.227.204,80,China,HTTP,High +KA
101.71.27.120,80,China,HTTP,High
222.124.202.195,1080,Indonesia,socks4/5,High
121.14.4.111,80,China,HTTP,High
124.126.126.101,80,China,HTTPS,High +KA
202.108.23.247,80,China,HTTP,None
94.100.53.1,8080,Serbia,HTTPS,High +KA
49.4.178.68,80,China,HTTP,None
186.92.155.127,8080,Venezuela,HTTPS,High +KA
202.119.25.227,9999,China,HTTP,None
183.207.224.50,84,China,HTTP,High
183.207.228.51,82,China,HTTP,High
124.118.87.156,8090,China,HTTP,High
60.207.228.236,80,China,HTTP,None
62.201.200.5,8080,Iraq,HTTP,High +KA
222.49.128.229,8118,China,HTTP,High
190.199.86.73,8080,Venezuela,HTTPS,High +KA
120.132.50.69,8080,China,HTTP,High
218.204.140.104,8118,China,HTTP,High
202.99.16.28,3128,China,HTTPS,High +KA
42.112.31.40,1234,Viet Nam,HTTPS,High +KA
165.138.124.4,8080,USA,HTTPS,High +KA
101.4.136.2,9999,China,HTTP,None
72.159.148.20,10000,USA,HTTPS,High +KA
39.187.48.154,8123,China,HTTPS,High +KA
46.165.239.102,3128,Germany,HTTPS,High +KA
222.161.248.124,81,China,HTTP,High +KA
168.144.91.29,18080,Germany,HTTP,High +KA
120.27.41.140,8888,China,HTTP,High +KA
69.12.64.106,7808,USA,HTTPS,High +KA
121.52.229.156,8088,China,HTTP,High
218.161.34.107,8080,Taiwan,HTTP,High
111.161.126.99,80,China,HTTPS,High +KA
115.231.96.120,80,China,HTTP,High
202.102.22.182,80,China,HTTP,None
183.207.224.51,86,China,HTTP,High
14.29.80.36,80,China,HTTP,High +KA
210.31.15.35,80,China,HTTP,None
218.204.140.106,8118,China,HTTP,High
106.38.251.62,8088,China,HTTP,High
111.161.126.101,80,China,HTTPS,High +KA
58.221.85.182,3128,China,HTTPS,High +KA
210.21.113.236,80,China,HTTP,None
41.202.37.196,3128,South Africa,HTTPS,High +KA
37.72.206.215,3128,France,HTTPS,High +KA
14.139.172.170,3128,India,HTTPS,High +KA
69.12.64.105,8089,USA,HTTPS,High +KA
218.204.140.97,8118,China,HTTP,High
115.231.188.113,8080,China,HTTP,Low
91.204.173.237,8080,UK,HTTP,Low
46.243.114.226,3128,Romania,HTTPS,High +KA
218.97.194.221,80,China,HTTP,High +KA
183.207.237.11,83,China,HTTP,High
14.152.43.236,80,China,HTTP,None
120.72.92.99,3128,India,HTTPS,High +KA
62.210.71.217,3128,France,HTTPS,High +KA
190.37.124.7,8080,Venezuela,HTTP,Medium
218.97.194.201,80,China,HTTP,High +KA
185.28.193.95,8080,Europe,HTTPS,High +KA
202.28.120.220,8080,Thailand,HTTPS,High +KA
180.166.56.47,80,China,HTTP,High +KA
177.55.254.113,8080,Brazil,HTTP,None
60.13.74.199,80,China,HTTP,High +KA
218.89.170.75,8888,China,HTTP,High
14.29.80.34,80,China,HTTP,High +KA
113.255.61.57,80,Hong Kong,HTTP,High
211.162.0.170,80,China,HTTPS,High +KA
183.207.228.60,80,China,HTTP,High +KA
87.106.149.46,8118,Germany,HTTP,High +KA